Credit Card Name,Bank,Network 1,Network 2,Network 3,Network 4
Indianoil RBL Bank Xtra Credit Card,RBL Bank,Mastercard Standard,RuPay Classic,,
Shaurya Select SBI Credit Card,State Bank of India,Visa Platinum,Rupay Select,,
IRCTC SBI Card Premier,State Bank of India,Visa Signature,Rupay Select,,
UCO Bank SimplySAVE SBI Card,UCO Bank,Visa Platinnum,Rupay Platinum,,
IndusInd Tiger Credit Card,IndusInd Bank,Visa Signature,,,
Poonawalla Fincorp IndusInd Bank eLITE RuPay Credit Card,IndusInd Bank ,RuPay Platinum,,,
HDFC Bank Platinum Times Credit Card,HDFC Bank,Visa Platinum,,,
Doctor's SBI Card ,State Bank Of India,Visa Signature,,,
Lifestyle Home Centre SBI Card,State Bank Of India,Visa Platinum,,,
Makemytrip ICICI Bank Platinum Credit Card,ICICI Bank,Mastercard Platinum,Visa Platinum,,
RBL Bank World Plus Credit Card  ,RBL Bank,Mastercard World,,,
Indianoil HDFC Bank Credit Card,HDFC Bank,Visa Classic,,,
PNB Patanjali Rupay Select Card,Punjab National Bank,RuPay Select,,,
IRCTC HDFC Bank Credit Card,HDFC Bank,Visa Classic,,,
HDFC Bank Business Gold Credit Card,HDFC Bank,Visa Gold,,,
Titan SBI Credit Card,State Bank of India,Visa Signature,,,
Makemytrip ICICI Bank Credit Card,ICICI Bank,Mastercard Platinum,,,
CSB Onecard Credit Card,Catholic Syrian Bank,Mastercard World,,,
Karnataka Bank Simplysave SBI Card,Karnataka Bank,"	Visa Platinum",,,
The PNB Global Platinum Credit Card,Punjab National Bank,"	Visa Platinum",,,
Indusind Indulge Credit Card,IndusInd Bank,Visa Infinite,,,
HDFC Pixel Go Credit Card ,HDFC Bank,Visa Classic,RuPay Classic,,
Yes Bank Anq Pi Credit Card,Yes Bank,Rupay Platinum,,,
Federal Bank Visa Celesta,Federal Bank,Visa Signature,,,
Indusind Platinum Aura Edge Credit Card,IndusInd Bank,Visa Platinum,Mastercard Platinum,,
Axis Bank Magnus Credit Card,Axis Bank,Mastercard World,Visa Infinite,,
HDFC Bank Titanium Times Card,HDFC Bank,Visa Classic,,,
ICICI Bank Platinum Chip Credit Card ,ICICI Bank,Visa Platinum,,,
Max SBI Credit Card,State Bank of India,Visa Platinum,,,
RBL Bank Insignia Preferred Banking Card,RBL Bank,Mastercard World,,,
PSB SBI Card Elite,State Bank of India,Visa Signature,,,
Yes Bank BYOC Credit Card,Yes Bank,Visa Platinum,Mastercard Platinum,,
Axis Bank Neo Credit Card,Axis Bank,Visa Platinum,,,
Canara Bank Mastercard World Credit Card,Canara Bank,Mastercard World,,,
Indusind Bank Avios Visa Infinite Credit Card,IndusInd Bank,Visa Infinite,,,
IDFC First Wow Credit Card,IDFC First Bank,Visa Infinite,,,
Spicejet Axis Bank Voyage Credit Card,Axis Bank,Visa Platinum,,,
RBL Bank Platinum Shopsmart Credit Card ,RBL Bank,Mastercard Platinum,,,
Ikea Family Citi Credit Card,Citi Bank,Mastercard Standard,,,
HDFC Bank Moneyback Plus Credit Card,HDFC Bank,Visa Platinum,,,
Federal Bank Rupay Signet Credit Card,Federal Bank,RuPay Platinum,,,
Bajaj Finance Binge Supercard,Bajaj Finance,Mastercard Platinum,,,
Bajaj Finserv DBS Bank 7X Rewards Supercard,DBS Bank,Visa Signature,,,
Union Bank Rupay Platinum Credit Card,Union Bank of India,Rupay Platinum,,,
Swavlamban Bobcard,Bank of Baroda,Mastercard Standard,RuPay Classic,,
Fabindia SBI Card Select,State Bank of India,Visa Signature,,,
Cashback SBI Credit Card,State Bank of India,Visa Platinum,,,
RBL Bank Platinum Choice Credit Card    ,RBL Bank,Mastercard Platinum,,,
Karnataka Bank Simplysave SBI Card,Karnataka Bank,Visa Platinum,Rupay Platinum,,
Max SBI Card Prime,State Bank of India,Visa Platinum,,,
Paytm HDFC Bank Select Credit Card,Paytm,Visa Platinum,,,
Shoppers Stop Black HDFC Bank Credit Card,HDFC Bank,Visa Signature,,,
Axis Bank Pride Platinum Credit Card,Axis Bank,Visa Platinum,,,
Paytm SBI Card Select,State Bank of India,Visa Platinum,,,
ICICI Bank Sapphiro Credit Card,ICICI Bank,Visa Signature,Mastercard World,Amex Platinum,
SBI Pulse Credit Card ,State Bank of India,Visa Signature,,,
RBL Bank VCard,RBL Bank,Rupay Platinum,,,
Simplyclick Advantage SBI Card,State Bank of India,Visa Platinum,,,
Federal Bank Scapia Credit Card,Federal Bank,Visa Signature,Rupay Platinum,,
Aditya Birla SBI Card,State Bank of India,Visa Platinum,,,
Axis Bank Rewards Credit Card,Axis Bank,Visa Platinum,,,
Kotak 811 Credit Card,Kotak Mahindra Bank,Visa Classic,,,
Bajaj Finance Platinum Max Supercard,Bajaj Finance,Mastercard Platinum,,,
Canara Bank Visa Gold Credit Card,Canara Bank,Visa Gold,,,
SIB Onecard Credit Card,South Indian Bank,Visa Signature,,,
HSBC Live+ Credit Card,HSBC Bank,Visa Signature,,,
HSBC Premier Mastercard Credit Card,HSBC Bank,Mastercard World,,,
Reliance SBI Card Prime,State Bank of India,"Visa Signature
",Rupay Select,,
6E Rewards XL IndiGo HDFC Bank Credit Card,HDFC Bank,"Mastercard World
",RuPay Classic,,
SBM Kredit.Pe Credit Card,SBM Bank,Rupay Platinum,,,
Standard Chartered Super Value Titanium Credit Card,Standard Chartered,Mastercard Titanium,,,
Bandhan Bank One Credit Card,Bandhan Bank,Visa Platinum,,,
Simplysave Advantage SBI Card,State Bank of India,Visa Platinum,,,
Flipkart Axis Bank Superelite Credit Card,Axis Bank,Visa Classic,,,
KVB Honour Credit Card,Karur Vysya Bank,"Visa Platinum
",,,
Air India SBI Platinum Credit Card,State Bank of India,Visa Platinum,,,
UCO Bank SBI Card Prime,State Bank of India,Visa Signature,,,
City Union Bank SBI Simplysave Credit Card,City Union Bank,Visa Classic,,,
Kotak Mojo Platinum Credit Card,Kotak Mahindra Bank,Visa Platinum,Rupay Platinum,,
HDFC Bank UPI Rupay Biz Credit Card,HDFC Bank,RuPay Platinum,,,
RBL Bank Platinum Prime Credit Card ,RBL Bank,Mastercard Platinum,,,
Spar SBI Card Select,State Bank of India,Visa Signature,,,
IRCTC SBI Platinum Card,State Bank of India,Visa Platinum,,,
Intermiles HDFC Bank Diners Club Credit Card,HDFC Bank,Diners Club International,,,
RBL Bank Patanjali Swarn RuPay Card,RBL Bank,RuPay Select,,,
ICICI Bank Coral Credit Card,ICICI Bank,Mastercard Standard,Visa Classic,,
Bajaj Finance Platinum Prime Supercard,Bajaj Finance,Mastercard Standard,,,
IDFC First Private Credit Card,IDFC First Bank,Visa Infinite,,,
Indian Army Yoddha Bobcard,Bank of Baroda,RuPay Select,,,
HPCL Energie Bobcard,Bank of Baroda,Rupay Platinum,,,
Tata Card Select,Tata Cards,Visa Platinum,Mastercard Platinum,,
J&K Bank Platinum Credit Card,J&K Bank,Visa Platinum,Mastercard Platinum,,
Platinum ValuePlus SuperCard,Bajaj Finance,Visa Platinum,Mastercard Platinum,,
Flipkart Axis Bank Credit Card ,Axis Bank,Visa Signature,Mastercard World,,
Apollo SBI Card Select,State Bank of India,Visa Platinum,Rupay Platinum,,
RBL Bank Platinum ShopDaily Credit Card,RBL Bank,Visa Platinum,Mastercard Platinum,,
PNB Rakshak Rupay Platinum Card,Punjab National Bank,Rupay Platinum,,,
Indusind Eazydiner Platinum Credit Card ,IndusInd Bank,Visa Platinum,,,
Indianoil Kotak Credit Card,Kotak Mahindra Bank,Visa Platinum,Rupay Platinum,,
RBL Bank World Prime Credit Card ,RBL Bank,Mastercard World,,,
ICICI Bank Emeralde Credit Card,ICICI Bank,American Express Platinum,Visa Infinite,,
Tata Platinum Card Select,Tata Cards,Visa Platinum,Mastercard Platinum,,
IndianOil RBL Bank Credit Card,RBL Bank,Visa Classic,,,
Bajaj Finserv DBS Bank 10X Plus Signature SuperCard,DBS Bank,Visa Signature,,,
Axis Bank Privilege Credit Card,Axis Bank,Visa Signature,American Express Platinum,,
Canara Bank Rupay Select Credit Card,Canara Bank,Rupay Select,,,
RBL Bank World Max Credit Card  ,RBL Bank,Mastercard World,,,
Simplyclick SBI Card,State Bank of India,Visa Platinum,,,
IndusInd Intermiles Odyssey Visa Credit Card ,IndusInd Bank,Visa Signature,,,
RBL Bank Platinum Plus Credit Card  ,RBL Bank,Visa Platinum,Mastercard Platinum,,
SBM Magnet Credit Card,SBM Bank,Visa Platinum,,,
IndusInd Celesta American Express Credit Card,IndusInd Bank,American Express Platinum,,,
Ixigo AU Travel Credit Card,AU Small Finance Bank,Rupay Platinum,Visa Signature,,
Lifestyle Home Centre SBI Card Prime,State Bank of India,Visa Signature,,,
IDFC First Ashva Credit Card,IDFC First Bank,"Visa Infinite	",,,
PNB RuPay Platinum Credit Card,Punjab National Bank,RuPay Platinum,,,
American Express Smartearn Credit Card,American Express,American Express Standard,,,
6E Rewards Indigo HDFC Bank Credit Card,HDFC Bank,Mastercard Standard,,,
ICICI Parakram Select Credit Card,ICICI Bank,Visa Signature,,,
LIC Axis Bank Platinum Credit Card,Axis Bank,Visa Platinum,Mastercard Platinum,,
IndusInd Eazydiner Credit Card,IndusInd Bank,Visa Signature,,,
