Credit Card Name,Bank,Network 1,Network 2,Network 3,Network 4
ICICI Manchester United Platinum Credit Card,ICICI Bank,Visa Platinum,,,
Shaurya SBI Card,State Bank of India,Rupay Platinum,Visa Classic,,
SBI Card Prime Advantage ,State Bank of India,Mastercard World,Visa Signature,"American Express Platinum
",
SBI Card Miles,State Bank of India,Rupay Classic,Mastercard Standard,,
South Indian Bank Simplysave SBI Card,South Indian Bank,Visa Classic,Rupay Platinum,Mastercard Standard,
RBL Platinum Maxima Plus Card,RBL Bank,Mastercard Platinum,,,
Bank of India Master Platinum International Credit Card,Bank of India,Mastercard Platinum,,,
CITI Rewards Credit Card ,Citi Bank,Visa Platinum,Mastercard World,,
Paytm HDFC Bank Business Credit Card,HDFC Bank,Visa Platinum,,,
Amazon Pay ICICI Bank Credit Card,ICICI Bank,Visa Classic,,,
IDBI Aspire Platinum,IDBI Bank,Visa Platinum,,,
American Express Platinum Reserve Credit Card,American Express,American Express Platinum,,,
Bajaj Finance Platinum Shopsmart SuperCard,Bajaj Finance,Visa Platinum,Mastercard Platinum,,
Federal Bank MagniFi Credit Card ,Federal Bank,Visa Platinum,,,
ICICI Bank Sapphiro Credit Card,ICICI Bank,Mastercard World,American Express Standard,Visa Signature,Rupay Select
Canara Bank VISA Classic Credit Card,Canara Bank,Visa Classic,,,
AU Altura Credit Card,AU Small Finance Bank,Visa Platinum,,,
Samsung Axis Bank Signature Credit Card,Axis Bank,Visa Signature,,,
RBL Bank Platinum Bonus Credit Card  ,RBL Bank,Mastercard World,Visa Platinum,,
Bankbazaar Savemax Pro Credit Card,RBL Bank,Mastercard World,Visa Platinum,,
Canara Bank Visa Gold Secured Credit Card,Canara Bank,Visa Gold,,,
Bajaj Finserv DBS Bank 5X Plus Rewards Super Card,DBS Bank,Visa Platinum,,,
SBM Onecard Credit Card,SBM Bank,Visa Signature,,,
AU Bank Zenith+ Credit Card,AU Small Finance Bank,Visa Infinite,,,
Bajaj Finance Platinum Bonus SuperCard,Bajaj Finance,Mastercard World,,,
Bajaj Finance World Plus SuperCard,Bajaj Finance,Mastercard World,,,
KVB Platinum Credit Card,Karur Vysya Bank,Visa Platinum,,,
Axis Bank Select Credit Card,Axis Bank,Visa Signature,,,
Standard Chartered Platinum Rewards Credit Card,Standard Chartered Bank,Visa Platinum,,,
RBL Bank Lazy Pay Credit Card ,RBL Bank,Visa Classic,Mastercard Standard,,
PSB SBI Card Prime,State Bank of India,Visa Signature,,,
IRCTC SBI Card Rupay,State Bank of India,Rupay Platinum,,,
IDFC First Power Credit Card ,IDFC First Bank,Rupay Select,,,
ICICI Bank HPCL Super Saver Credit Card,ICICI Bank,Visa Platinum,Rupay Classic,,
Standard Chartered Smart Credit Card,Standard Chartered Bank,Visa Platinum,,,
Indusind Pinnacle Credit Card ,IndusInd Bank,Mastercard World,,,
Karur Vysya Bank SBI Gold Card,Karur Vysya Bank,Visa Platinum,,,
HDFC Bank Harley-Davidson Diners Club Credit Card ​​,HDFC Bank,Diners Club International,,,
PNB Patanjali Rupay Platinum Card,Punjab National Bank,Rupay Platinum,,,
SBM Credilio Secured Credit Card,SBM Bank,Rupay Classic,,,
Bajaj Finserv DBS Bank 10X Signature SuperCard,DBS Bank,Visa Signature,,,
RBL Bank Patanjali Vishisht RuPay Card ,RBL Bank,Rupay Select,,,
Accelero ICICI Bank Credit Card,ICICI Bank,Visa Platinum,,,
Tata Neu Infinity HDFC Bank Credit Card,HDFC Bank,Visa Signature ,Rupay Select,,
Axis Bank Reserve Credit Card,Axis Bank,Visa Infinite,,,
Kotak 811 Dream Different Credit Card,Kotak Mahindra Bank,Visa Classic,,,
RBL Bank Platinum ValuePlus Credit Card ,RBL Bank,Mastercard Platinum ,,,
SBM UNI card,SBM Bank,Visa Platinum,,,
Axis Bank SpiceJet Voyage Black Credit Card,Axis Bank,Visa Signature,,,
UCO Bank SBI Card Elite,UCO Bank,Visa Signature,Rupay Select,,
Niyo SBM Global credit card,SBM Bank,Visa Signature,,,
RBL Bank Novio RuPay Credit Card,RBL Bank,Rupay Select,,,
South Indian Bank SimplySave SBI Card,South Indian Bank,Visa Classic,Mastercard Standard,Rupay Classic,
HDFC H.O.G. Diners Club Credit Card,HDFC Bank,Diners Club International,,,
AU Vetta Credit Card,AU Small Finance Bank,Visa Signature,,,
J&K Bank World Credit Card,J&K Bank,Mastercard World,,,
Axis Bank Atlas Credit Card,Axis Bank,Visa Signature,,,
AU Bank Instapay Credit Card,AU Small Finance Bank,Rupay Classic,,,
Yes ELITE + Credit Card,Yes Bank,Visa Signature,Mastercard World,,
Citi Cashback Credit Card,CITI Bank,Visa Platinum,Mastercard Platinum,,
Canara Bank Mastercard Gold Credit Card,Canara Bank,Mastercard Gold,,,
American Express Platinum Charge Card,American Express,American Express Platinum,,,
Axis Bank Aura Credit Card,Axis Bank,Visa Signature,,,
Kotak White Credit Card,Kotak Mahindra Bank,Visa Signature,,,
Central Bank Of India SimplySave SBI Card,Central Bank of India,Visa Platinum,,,
RBL Bank Movies and More Credit Card,RBL Bank,Mastercard Standard,,,
Canara Bank Mastercard Gold Secured Credit Card,Canara Bank,Mastercard Gold,,,
RBL Bank Shoprite Credit Card,RBL Bank,Visa Classic,Mastercard Standard,Rupay Classic,
Fibe Axis Bank Rupay Credit Card ,Axis Bank,Visa Platinum,Rupay Platinum,,
Canara Bank Mastercard Standard Credit Card Review,Canara Bank,Mastercard Standard,,,
Equitas Excite ,Equitas Small Finance Bank,Visa Platinum,,,
Bank of Baroda Premier Credit card,Bank of Baroda,Visa Signature,,,
Indusind Legend Credit Card,IndusInd Bank,Visa Signature,Mastercard World,,
ICICI Bank Instant Platinum Credit Card,ICICI Bank,Visa Classic,,,
Bajaj Finance Platinum Shopdaily Supercard,Bajaj Finance,Mastercard World,,,
Axis Bank Ace Credit Card,Axis Bank,Visa Signature,,,
IDFC Bank First Millennia Credit Card ,IDFC First Bank,Visa Classic,,,
PNB Rupay Select Card,Punjab National Bank,Rupay Select,,,
KrisFlyer SBI Card,State Bank of India,Mastercard Standard,Visa Classic,"American Express Platinum
",
DBS Vantage Card,DBS Bank,Visa Infinite,,,
BOB Assure Credit Card,Bank of Baroda,Visa Platinum,,,
Etihad Guest SBI Card,State Bank of India,Visa Signature,,,
RBL Bank Play Credit Card,RBL Bank,,,,
Standard Chartered Ultimate Credit Card,Standard Chartered Bank,Mastercard World,,,
HDFC Regalia Gold Credit Card,HDFC Bank,,,,
RBL Bank Platinum Delight Credit Card ,RBL Bank,Visa Classic,Mastercard Standard,,
SBI Card Prime,State Bank of India,Visa Signature,,,
HSBC Visa Platinum Credit Card,HSBC Bank,Visa Platinum,,,
RBL Bank World Safari Credit Card,RBL Bank,Mastercard World,,,
Federal Bank Mastercard Signet,Federal Bank,Mastercard Standard,,,
Axis Bank My Wings Credit Card,Axis Bank,Mastercard Platinum,,,
HDFC Swiggy Credit Card ,HDFC Bank,Mastercaard World,,,
IDBI Royale Signature Credit Card,IDBI Bank,Visa Signature,,,
Bandhan Bank Plus Credit Card,Bandhan Bank,Visa Infintie,,,
Bajaj Finance Platinum Classic SuperCard,Bajaj Finance,Visa Platinum,Mastercard Platinum,,
RBL Bank Platinum Advantage Credit Card   ,RBL Bank,Mastercard Platinum,,,
