Offer,Description,Link,Eligible Credit Cards,Eligible Debit Cards,UPI
"RBL Bank Popcorn, Fun+, Movies & More and Blockbuster card monthly offer",RBL Bank Monthly Offer,https://in.bookmyshow.com/offers/rbl-bank-monthly-offer/RBLMON1216,RBL Bank Popcorn Credit Card,,
"RBL Bank Popcorn, Fun+, Movies & More and Blockbuster card monthly offer",RBL Bank Monthly Offer,https://in.bookmyshow.com/offers/rbl-bank-monthly-offer/RBLMON1216,RBL Bank Fun+ Credit Card,,
"RBL Bank Popcorn, Fun+, Movies & More and Blockbuster card monthly offer",RBL Bank Monthly Offer,https://in.bookmyshow.com/offers/rbl-bank-monthly-offer/RBLMON1216,RBL Bank Movies & More Credit Card,,
"RBL Bank Popcorn, Fun+, Movies & More and Blockbuster card monthly offer",RBL Bank Monthly Offer,https://in.bookmyshow.com/offers/rbl-bank-monthly-offer/RBLMON1216,RBL Bank Blockbuster Credit Card,,
RBL Bank Welcome Offer,RBL Bank Welcome Offer,https://in.bookmyshow.com/offers/rbl-bank-welcome-offer/RBLWC1216,RBL Bank Popcorn Credit Card,,
RBL Bank Welcome Offer,RBL Bank Welcome Offer,https://in.bookmyshow.com/offers/rbl-bank-welcome-offer/RBLWC1216,RBL Bank Fun+ Credit Card,,
RBL Bank Welcome Offer,RBL Bank Welcome Offer,https://in.bookmyshow.com/offers/rbl-bank-welcome-offer/RBLWC1216,RBL Bank Movies & More Credit Card,,
RBL Bank Welcome Offer,RBL Bank Welcome Offer,https://in.bookmyshow.com/offers/rbl-bank-welcome-offer/RBLWC1216,RBL Bank Blockbuster Credit Card,,
Reliance SBI Card PRIME,Get 1 Free movie ticket upto INR 250 every month with Reliance SBI Card PRIME,https://in.bookmyshow.com/offers/reliance-sbi-card-prime/SBIRIL03241,Reliance SBI Card Prime,,
YES Bank MARQUEE Credit Card Offer,Buy 1 Get 1 free movie ticket with YES Bank MARQUEE Credit Card*,https://in.bookmyshow.com/offers/yes-bank-marquee-credit-card-offer/YESMRQ1123,Yes Bank Marquee Credit Card,,
Yes Private Credit Card Offer,Buy 1 get 1 movie ticket free + 50% off on non movie tickets with Yes Private Credit Card,https://in.bookmyshow.com/offers/yes-private-credit-card-offer/YESPRCC124,Yes Private Prime Credit Card,,
AURUM Credit Card Offer,Get 4 movie tickets or INR 1000 once a month with AURUM credit card.,https://in.bookmyshow.com/offers/aurum-credit-card-offer/SBISPR0724,Aurum Credit Card,,
IDFC First Bank Private Credit Card Offer,Get up to INR 750 off on Movies and FnB and/or Non-movies twice a month with IDFC First Bank Private Credit Card,https://in.bookmyshow.com/offers/idfc-first-bank-private-credit-card-offer/IDFCCC0921,IDFC First Private Credit Card,,
SBI Signature/Elite credit card offer,Get 2 free movie tickets or INR 500 off whichever is less with SBI Signature/Elite credit cards,https://in.bookmyshow.com/offers/sbi-inr-500-off-on-elite-credit-card/SBI0724,SBI Card Elite,,
DBS Bank Vantage Credit Card Offer,Buy One Get One Free upto INR500 Off* twice a month on DBS Vantage Credit Card,https://in.bookmyshow.com/offers/dbs-bank-vantage-credit-card-offer/DBSVN0424,DBS Vantage Card,,
DBS Spark Credit Card Offer,Buy One Get One Free Upto INR 200* on DBS Spark Credit Card,https://in.bookmyshow.com/offers/dbs-spark-credit-card-offer/DBSCC1023,DBS Spark5 Credit Card,,
DBS Spark Credit Card Offer,Buy One Get One Free Upto INR 200* on DBS Spark Credit Card,https://in.bookmyshow.com/offers/dbs-spark-credit-card-offer/DBSCC1023,DBS Spark20 Credit Card,,
DBS Spark Credit Card Offer,Buy One Get One Free Upto INR 200* on DBS Spark Credit Card,https://in.bookmyshow.com/offers/dbs-spark-credit-card-offer/DBSCC1023,DBS Spark 10 Credit Card,,
HDFC Bank Times Card Offer,Get 25% discount on movie tickets with HDFC Timescard Credit & 50% discount on movie tickets with HDFC Timescard Credit Platinum,https://in.bookmyshow.com/offers/hdfc-bank-times-card-offer/HTCCC0324,HDFC Bank Platinum Times Credit Card,,
HDFC Bank Times Card Offer,Get 25% discount on movie tickets with HDFC Timescard Credit & 50% discount on movie tickets with HDFC Timescard Credit Platinum,https://in.bookmyshow.com/offers/hdfc-bank-times-card-offer/HTCCC0324,HDFC Bank Titanium Times Card,,
"IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","https://in.bookmyshow.com/offers/indusind-bank-credit-cards-buy-1-get-1-free-movie-ticket-offer-(legend,-nexxt,-duo,-signature,-iconia,-intermiles,-poonawalla-fincorp-elite)/INDBOGO424",Indusind Legend Credit Card,,
"IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","https://in.bookmyshow.com/offers/indusind-bank-credit-cards-buy-1-get-1-free-movie-ticket-offer-(legend,-nexxt,-duo,-signature,-iconia,-intermiles,-poonawalla-fincorp-elite)/INDBOGO424",Indusind Bank Nexxt Credit Card,,
"IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","https://in.bookmyshow.com/offers/indusind-bank-credit-cards-buy-1-get-1-free-movie-ticket-offer-(legend,-nexxt,-duo,-signature,-iconia,-intermiles,-poonawalla-fincorp-elite)/INDBOGO424",IndusInd Bank Duo Card,,
"IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","https://in.bookmyshow.com/offers/indusind-bank-credit-cards-buy-1-get-1-free-movie-ticket-offer-(legend,-nexxt,-duo,-signature,-iconia,-intermiles,-poonawalla-fincorp-elite)/INDBOGO424",Indusind Iconia Credit Card,,
"IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","https://in.bookmyshow.com/offers/indusind-bank-credit-cards-buy-1-get-1-free-movie-ticket-offer-(legend,-nexxt,-duo,-signature,-iconia,-intermiles,-poonawalla-fincorp-elite)/INDBOGO424",IndusInd Intermiles Odyssey Visa Credit Card,,
"IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","https://in.bookmyshow.com/offers/indusind-bank-credit-cards-buy-1-get-1-free-movie-ticket-offer-(legend,-nexxt,-duo,-signature,-iconia,-intermiles,-poonawalla-fincorp-elite)/INDBOGO424",Indusind InterMiles Odyssey Amex Credit Card,,
"IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","IndusInd Bank Credit Cards Buy 1 Get 1 free movie ticket offer (Legend, Nexxt, Duo, Signature, Iconia, Intermiles, Poonawalla Fincorp eLITE)","https://in.bookmyshow.com/offers/indusind-bank-credit-cards-buy-1-get-1-free-movie-ticket-offer-(legend,-nexxt,-duo,-signature,-iconia,-intermiles,-poonawalla-fincorp-elite)/INDBOGO424",Poonawalla Fincorp IndusInd Bank eLITE RuPay Credit Card,,
RBL PLAY Credit Card - Monthly Offer,Get INR 500/- off on tickets + INR 100/- off on F&B every month on BookMyShow using PLAY Credit Card. *T&C Apply.,https://in.bookmyshow.com/offers/rbl-bank-play-credit-card---monthly-offer/RBLPLMN222,RBL Bank Play Credit Card,,
TVS Credit RBL Bank Credit Card,Buy One Get One Free using TVS Credit RBL Bank Credit Card*,https://in.bookmyshow.com/offers/tvs-credit-rbl-bank-credit-card/RBLTVS8251,TVS Credit RBL Bank Card,,
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),Visa Celesta Contactless Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),Axis Bank Burgundy Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),Kotak Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),Bank of Baroda World VISA Opulence Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),IDFC First Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),IDFC First Wealth Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),IDFC First Select Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),HDFC Infiniti Debit Card. (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),ICICI Private Banking Visa Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Samsung Axis Bank Infinite Credit Card (Visa Infinite),DBS Visa Infinite Debit Card -Treasures (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),Visa Celesta Contactless Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),Axis Bank Burgundy Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),Kotak Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),Bank of Baroda World VISA Opulence Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),IDFC First Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),IDFC First Wealth Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),IDFC First Select Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),HDFC Infiniti Debit Card. (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),ICICI Private Banking Visa Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,HDFC Bank Infinia Credit Card Metal Edition (Visa Infinite),DBS Visa Infinite Debit Card -Treasures (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),Visa Celesta Contactless Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),Axis Bank Burgundy Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),Kotak Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),Bank of Baroda World VISA Opulence Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),IDFC First Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),IDFC First Wealth Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),IDFC First Select Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),HDFC Infiniti Debit Card. (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),ICICI Private Banking Visa Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Vistara Infinite Credit Card (Visa Infinite),DBS Visa Infinite Debit Card -Treasures (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),Visa Celesta Contactless Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),Axis Bank Burgundy Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),Kotak Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),Bank of Baroda World VISA Opulence Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),IDFC First Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),IDFC First Wealth Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),IDFC First Select Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),HDFC Infiniti Debit Card. (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),ICICI Private Banking Visa Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indus Solitaire Credit Card (Visa Infinite),DBS Visa Infinite Debit Card -Treasures (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),Visa Celesta Contactless Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),Axis Bank Burgundy Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),Kotak Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),Bank of Baroda World VISA Opulence Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),IDFC First Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),IDFC First Wealth Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),IDFC First Select Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),HDFC Infiniti Debit Card. (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),ICICI Private Banking Visa Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Indulge Credit Card (Visa Infinite),DBS Visa Infinite Debit Card -Treasures (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),Visa Celesta Contactless Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),Axis Bank Burgundy Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),Kotak Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),Bank of Baroda World VISA Opulence Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),IDFC First Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),IDFC First Wealth Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),IDFC First Select Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),HDFC Infiniti Debit Card. (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),ICICI Private Banking Visa Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Axis Bank Magnus Credit Card (Visa Infinite),DBS Visa Infinite Debit Card -Treasures (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),Visa Celesta Contactless Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),Axis Bank Burgundy Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),Kotak Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),Bank of Baroda World VISA Opulence Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),IDFC First Private Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),IDFC First Wealth Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),IDFC First Select Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),HDFC Infiniti Debit Card. (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),ICICI Private Banking Visa Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,Indusind Bank Avios Visa Infinite Credit Card (Visa Infinite),DBS Visa Infinite Debit Card -Treasures (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,IDFC First Wow Credit Card (Visa Infinite),Visa Celesta Contactless Debit Card (Visa Infinite),
